cep,lat,lon,uf,distancia_km
Sub-bloco 001,-23.63323328258258,-46.66614098375797,SP,9.77
Sub-bloco 002,-23.63323328258258,-46.657951337818474,SP,9.52
Sub-bloco 003,-23.63323328258258,-46.649761691878986,SP,9.33
Sub-bloco 004,-23.63323328258258,-46.64157204593949,SP,9.22
Sub-bloco 005,-23.63323328258258,-46.6333824,SP,9.18
Sub-bloco 006,-23.63323328258258,-46.625192754060514,SP,9.22
Sub-bloco 007,-23.63323328258258,-46.61700310812102,SP,9.33
Sub-bloco 008,-23.63323328258258,-46.60881346218153,SP,9.52
Sub-bloco 009,-23.63323328258258,-46.600623816242035,SP,9.77
Sub-bloco 010,-23.625725775075075,-46.682520275636946,SP,9.73
Sub-bloco 011,-23.625725775075075,-46.67433062969746,SP,9.33
Sub-bloco 012,-23.625725775075075,-46.66614098375797,SP,8.99
Sub-bloco 013,-23.625725775075075,-46.657951337818474,SP,8.72
Sub-bloco 014,-23.625725775075075,-46.649761691878986,SP,8.51
Sub-bloco 015,-23.625725775075075,-46.64157204593949,SP,8.39
Sub-bloco 016,-23.625725775075075,-46.6333824,SP,8.35
Sub-bloco 017,-23.625725775075075,-46.625192754060514,SP,8.39
Sub-bloco 018,-23.625725775075075,-46.61700310812102,SP,8.51
Sub-bloco 019,-23.625725775075075,-46.60881346218153,SP,8.72
Sub-bloco 020,-23.625725775075075,-46.600623816242035,SP,8.99
Sub-bloco 021,-23.625725775075075,-46.592434170302546,SP,9.33
Sub-bloco 022,-23.625725775075075,-46.58424452436306,SP,9.73
Sub-bloco 023,-23.618218267567567,-46.69070992157644,SP,9.52
Sub-bloco 024,-23.618218267567567,-46.682520275636946,SP,9.03
Sub-bloco 025,-23.618218267567567,-46.67433062969746,SP,8.59
Sub-bloco 026,-23.618218267567567,-46.66614098375797,SP,8.22
Sub-bloco 027,-23.618218267567567,-46.657951337818474,SP,7.92
Sub-bloco 028,-23.618218267567567,-46.649761691878986,SP,7.7
Sub-bloco 029,-23.618218267567567,-46.64157204593949,SP,7.56
Sub-bloco 030,-23.618218267567567,-46.6333824,SP,7.51
Sub-bloco 031,-23.618218267567567,-46.625192754060514,SP,7.56
Sub-bloco 032,-23.618218267567567,-46.61700310812102,SP,7.7
Sub-bloco 033,-23.618218267567567,-46.60881346218153,SP,7.92
Sub-bloco 034,-23.618218267567567,-46.600623816242035,SP,8.22
Sub-bloco 035,-23.618218267567567,-46.592434170302546,SP,8.59
Sub-bloco 036,-23.618218267567567,-46.58424452436306,SP,9.03
Sub-bloco 037,-23.618218267567567,-46.57605487842356,SP,9.52
Sub-bloco 038,-23.61071076006006,-46.69889956751593,SP,9.44
Sub-bloco 039,-23.61071076006006,-46.69070992157644,SP,8.87
Sub-bloco 040,-23.61071076006006,-46.682520275636946,SP,8.35
Sub-bloco 041,-23.61071076006006,-46.67433062969746,SP,7.87
