cep,lat,lon,uf,distancia_km
Sub-bloco 001,-23.487411591291295,-46.55237170480119,SP,4.89
Sub-bloco 002,-23.487411591291295,-46.548280128600894,SP,4.76
Sub-bloco 003,-23.487411591291295,-46.54418855240059,SP,4.67
Sub-bloco 004,-23.487411591291295,-46.540096976200296,SP,4.61
Sub-bloco 005,-23.487411591291295,-46.5360054,SP,4.59
Sub-bloco 006,-23.487411591291295,-46.531913823799705,SP,4.61
Sub-bloco 007,-23.487411591291295,-46.52782224759941,SP,4.67
Sub-bloco 008,-23.487411591291295,-46.523730671399115,SP,4.76
Sub-bloco 009,-23.487411591291295,-46.51963909519881,SP,4.89
Sub-bloco 010,-23.48365783753754,-46.56055485720178,SP,4.87
Sub-bloco 011,-23.48365783753754,-46.556463281001484,SP,4.67
Sub-bloco 012,-23.48365783753754,-46.55237170480119,SP,4.5
Sub-bloco 013,-23.48365783753754,-46.548280128600894,SP,4.36
Sub-bloco 014,-23.48365783753754,-46.54418855240059,SP,4.26
Sub-bloco 015,-23.48365783753754,-46.540096976200296,SP,4.19
Sub-bloco 016,-23.48365783753754,-46.5360054,SP,4.17
Sub-bloco 017,-23.48365783753754,-46.531913823799705,SP,4.19
Sub-bloco 018,-23.48365783753754,-46.52782224759941,SP,4.26
Sub-bloco 019,-23.48365783753754,-46.523730671399115,SP,4.36
Sub-bloco 020,-23.48365783753754,-46.51963909519881,SP,4.5
Sub-bloco 021,-23.48365783753754,-46.51554751899852,SP,4.67
Sub-bloco 022,-23.48365783753754,-46.51145594279822,SP,4.87
Sub-bloco 023,-23.479904083783786,-46.564646433402075,SP,4.76
Sub-bloco 024,-23.479904083783786,-46.56055485720178,SP,4.51
Sub-bloco 025,-23.479904083783786,-46.556463281001484,SP,4.3
Sub-bloco 026,-23.479904083783786,-46.55237170480119,SP,4.11
Sub-bloco 027,-23.479904083783786,-46.548280128600894,SP,3.96
Sub-bloco 028,-23.479904083783786,-46.54418855240059,SP,3.85
Sub-bloco 029,-23.479904083783786,-46.540096976200296,SP,3.78
Sub-bloco 030,-23.479904083783786,-46.5360054,SP,3.76
Sub-bloco 031,-23.479904083783786,-46.531913823799705,SP,3.78
Sub-bloco 032,-23.479904083783786,-46.52782224759941,SP,3.85
Sub-bloco 033,-23.479904083783786,-46.523730671399115,SP,3.96
Sub-bloco 034,-23.479904083783786,-46.51963909519881,SP,4.11
Sub-bloco 035,-23.479904083783786,-46.51554751899852,SP,4.3
Sub-bloco 036,-23.479904083783786,-46.51145594279822,SP,4.51
Sub-bloco 037,-23.479904083783786,-46.507364366597926,SP,4.76
Sub-bloco 038,-23.47615033003003,-46.56873800960237,SP,4.72
Sub-bloco 039,-23.47615033003003,-46.564646433402075,SP,4.44
Sub-bloco 040,-23.47615033003003,-46.56055485720178,SP,4.17
Sub-bloco 041,-23.47615033003003,-46.556463281001484,SP,3.94
Sub-bloco 042,-23.47615033003003,-46.55237170480119,SP,3.73
Sub-bloco 043,-23.47615033003003,-46.548280128600894,SP,3.57
Sub-bloco 044,-23.47615033003003,-46.54418855240059,SP,3.44
Sub-bloco 045,-23.47615033003003,-46.540096976200296,SP,3.37
Sub-bloco 046,-23.47615033003003,-46.5360054,SP,3.34
Sub-bloco 047,-23.47615033003003,-46.531913823799705,SP,3.37
Sub-bloco 048,-23.47615033003003,-46.52782224759941,SP,3.44
Sub-bloco 049,-23.47615033003003,-46.523730671399115,SP,3.57
Sub-bloco 050,-23.47615033003003,-46.51963909519881,SP,3.73
Sub-bloco 051,-23.47615033003003,-46.51554751899852,SP,3.94
Sub-bloco 052,-23.47615033003003,-46.51145594279822,SP,4.17
